,player_name,position,team,points_this_week,predicted_points,value,GW
185,Issa Diop,DEF,Fulham,0,0.6684239579510134,4.5,10
186,Adam Webster,DEF,Brighton,2,0.649604892476852,4.3,10
187,Hannes Delcroix,DEF,Burnley,0,0.6460495086443064,4.0,10
188,Jakub Kiwior,DEF,Arsenal,6,0.6234620124690674,4.3,10
189,George Baldock,DEF,Sheffield Utd,0,0.608910581195824,3.9,10
190,Joel Ward,DEF,Crystal Palace,-1,0.6052661064205496,4.5,10
191,Ben Davies,DEF,Spurs,1,0.5620054841620511,4.3,10
192,Jayden Bogle,DEF,Sheffield Utd,0,0.5362941173246735,4.5,10
193,Neco Williams,DEF,Nott'm Forest,1,0.5150350704423149,4.3,10
194,Raphaël Varane,DEF,Man Utd,0,0.5139361183818322,5.0,10
195,Sergio Reguilón,DEF,Man Utd,1,0.5080187445504141,4.4,10
196,Matt Targett,DEF,Newcastle,0,0.4689791640411478,4.3,10
197,Chris Basham,DEF,Sheffield Utd,0,0.465713709400442,4.0,10
198,Jonathan Castro Otto,DEF,Wolves,0,0.446538242527052,4.4,10
199,Mads Juel Andersen,DEF,Luton,0,0.4376312311670818,4.0,10
200,Hugo Bueno López,DEF,Wolves,0,0.4051045960214757,4.4,10
201,Ben Chilwell,DEF,Chelsea,0,0.4037580454279006,5.4,10
202,Lisandro Martínez,DEF,Man Utd,0,0.3988402998858939,4.7,10
203,Yasser Larouci,DEF,Sheffield Utd,0,0.3958845938825966,4.4,10
204,Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest,0,0.3836623045583858,4.4,10
205,Destiny Udogie,DEF,Spurs,0,0.379761214297529,4.9,10
206,Moussa Niakhaté,DEF,Nott'm Forest,1,0.374311149458227,4.5,10
207,Anel Ahmedhodžić,DEF,Sheffield Utd,0,0.3657439947218938,4.3,10
208,Ivan Perišić,DEF,Spurs,0,0.3497016722495694,4.8,10
209,John Egan,DEF,Sheffield Utd,0,0.3111044602188284,4.4,10
210,Ameen Al-Dakhil,DEF,Burnley,0,0.2922536011220774,4.0,10
211,Gabriel Osho,DEF,Luton,0,0.2561360158341722,4.4,10
212,Luke Shaw,DEF,Man Utd,0,0.2509375694818722,5.2,10
213,Sergio Gómez,DEF,Man City,0,0.2466374093003506,3.9,10
214,Benoît Badiashile,DEF,Chelsea,0,0.2281394728012527,4.4,10
215,Santiago Bueno,DEF,Wolves,0,0.227706587897178,4.5,10
216,Konstantinos Mavropanos,DEF,West Ham,0,0.2193440622158798,4.5,10
217,Scott McKenna,DEF,Nott'm Forest,0,0.2052841545363515,4.5,10
218,Andrew Omobamidele,DEF,Nott'm Forest,0,0.198266623054911,4.5,10
219,Jarell Quansah,DEF,Liverpool,0,0.1919000814906173,4.0,10
220,Rob Holding,DEF,Crystal Palace,0,0.1870200910072916,4.4,10
221,Aaron Wan-Bissaka,DEF,Man Utd,0,0.1764905975913079,4.4,10
222,Lewis Hall,DEF,Newcastle,0,0.1653302007406427,4.4,10
223,Ryan Giles,DEF,Luton,1,0.1592146125487328,4.4,10
224,Jordan Beyer,DEF,Burnley,0,0.1540493956794313,4.0,10
225,Ben Johnson,DEF,West Ham,0,0.1513393770055993,4.4,10
226,Angelo Ogbonna,DEF,West Ham,0,0.1392114348513977,4.4,10
227,Thilo Kehrer,DEF,West Ham,0,0.1388125108727659,4.3,10
228,Fodé Ballo-Touré,DEF,Fulham,0,0.1383769365778403,4.5,10
229,Kenny Tete,DEF,Fulham,0,0.1339099418822161,4.4,10
230,Tyrone Mings,DEF,Aston Villa,0,0.1322615807439467,4.2,10
231,Nuno Varela Tavares,DEF,Nott'm Forest,0,0.1288783538056081,4.0,10
232,Aaron Cresswell,DEF,West Ham,2,0.1243312037910363,4.2,10
233,Rico Henry,DEF,Brentford,0,0.1203400425752307,4.4,10
234,Cédric Alves Soares,DEF,Arsenal,0,0.1112334814305875,3.9,10
235,Eric Dier,DEF,Spurs,0,0.100225007724864,4.2,10
236,Max Lowe,DEF,Sheffield Utd,0,0.0909974023798903,4.4,10
237,Chris Mepham,DEF,Bournemouth,2,0.090040980070755,4.3,10
238,Emil Krafth,DEF,Newcastle,0,0.0879466054735014,4.4,10
239,Femi Seriki,DEF,Sheffield Utd,0,0.0860712258151188,4.0,10
240,Alexandre Moreno Lopera,DEF,Aston Villa,0,0.0809724160065484,5.0,10
241,Luke Chambers,DEF,Liverpool,0,0.0803339751402956,4.0,10
242,Aymeric Laporte,DEF,Man City,0,0.0762371856279251,4.9,10
243,Josh Brooking,DEF,Chelsea,0,0.0754907459179917,4.0,10
244,Callum Scanlon,DEF,Liverpool,0,0.0685949566882669,4.0,10
245,James Tomkins,DEF,Crystal Palace,0,0.0634980094804669,4.0,10
246,Clément Lenglet,DEF,Aston Villa,0,0.0620069322304841,4.5,10
247,Ben Greenwood,DEF,Bournemouth,0,0.0597075684851689,4.0,10
248,Ji-Soo Kim,DEF,Brentford,0,0.0596687166769631,4.0,10
249,Ben Godfrey,DEF,Everton,0,0.0593568198778006,4.3,10
250,Malang Sarr,DEF,Chelsea,0,0.0582425874074145,4.4,10
251,Mathias Jorgensen,DEF,Brentford,0,0.056438421724093,4.4,10
252,Ryan Fredericks,DEF,Bournemouth,0,0.0550493806131667,4.4,10
253,Alex Murphy,DEF,Newcastle,0,0.0523948939548456,3.9,10
254,James Hill,DEF,Bournemouth,0,0.0510849670567909,4.0,10
255,Rhys Norrington-Davies,DEF,Sheffield Utd,0,0.0497218096800243,3.9,10
256,Javier Manquillo Gaitán,DEF,Newcastle,0,0.0483010943342665,4.0,10
257,Luc De Fougerolles,DEF,Fulham,0,0.0479021703556347,4.0,10
258,Tosin Adarabioyo,DEF,Fulham,0,0.0465873655511491,4.3,10
259,Ashley Phillips,DEF,Spurs,0,0.045987929972799,4.0,10
260,CJ Egan-Riley,DEF,Burnley,0,0.0412535181968038,3.9,10
261,Paul Dummett,DEF,Newcastle,0,0.0395899560867267,3.9,10
262,João Cancelo,DEF,Man City,0,0.0394942380770967,5.8,10
263,Ben Mee,DEF,Brentford,0,0.0366388448036632,4.8,10
264,Kortney Hause,DEF,Aston Villa,0,0.0355346480164625,4.0,10
265,Calum Chambers,DEF,Aston Villa,0,0.0350730365740085,3.9,10
266,Nathaniel Phillips,DEF,Liverpool,0,0.0341821871182363,4.0,10
267,Jili Buyabu,DEF,Sheffield Utd,0,0.0336180100799439,4.0,10
268,Joseph Johnson,DEF,Luton,0,0.0327265426264615,4.0,10
269,Davinson Sánchez,DEF,Spurs,0,0.0312816799866925,4.4,10
270,Bendegúz Bolla,DEF,Wolves,0,0.0296731319472528,4.0,10
271,Seamus Coleman,DEF,Everton,0,0.0288742755911958,4.4,10
272,Jurriën Timber,DEF,Arsenal,0,0.0282592968080269,4.6,10
273,Kieran Tierney,DEF,Arsenal,0,0.0273527137638037,4.4,10
274,Alfie Gilchrist,DEF,Chelsea,0,0.0270876757033176,4.0,10
275,Sepp van den Berg,DEF,Liverpool,0,0.0264799251530051,4.0,10
276,Ki-Jana Hoever,DEF,Wolves,0,0.0264799251530051,4.0,10
277,Michał Karbownik,DEF,Brighton,0,0.0264799251530051,4.0,10
278,Jake O'Brien,DEF,Crystal Palace,0,0.024469653536081,4.0,10
279,Trevoh Chalobah,DEF,Chelsea,0,0.0233882000945593,4.3,10
280,Josh Powell,DEF,Nott'm Forest,0,0.0225573461627652,4.0,10
281,Wesley Fofana,DEF,Chelsea,0,0.0201949933003116,4.4,10
282,Tyrell Malacia,DEF,Man Utd,0,0.0199144125667531,4.3,10
283,César Azpilicueta,DEF,Chelsea,0,0.0194502829523978,4.5,10
284,Alex Telles,DEF,Man Utd,0,0.0191697022188393,4.5,10
285,Álvaro Fernández Carreras,DEF,Man Utd,0,0.0190059936598918,4.0,10
286,Eric Bailly,DEF,Man Utd,0,0.0190059936598918,4.0,10
287,Brandon Williams,DEF,Man Utd,0,0.0190059936598918,4.0,10
288,Steve Cook,DEF,Nott'm Forest,0,0.0167788452361915,4.5,10
289,Omar Richards,DEF,Nott'm Forest,0,0.0167788452361915,4.4,10
